Platform,Subscription_Tier,AI_Feature_Used,User_Mood_Pre_Watch,Device_Type,Content_Type,Region,Data_Privacy_Setting,Engagement_Score,Daily_Viewing_Time_Min,Churn_Risk_Probability,Monthly_Subscription_Cost_USD,AI_Feature_Satisfaction,Content_Items_Watched,Weekly_Sessions
YouTube,Standard,Personalized Story Ending,Energetic,AI-Integrated TV,Education,North America,Medium,74,105,0.286,10.62,7.33,1,2
YouTube,Standard,Mood-Based Playlist,Happy,AI-Integrated TV,Movies,North America,Medium,65,184,0.273,3.48,8.67,1,4
YouTube,Ad-Supported,AI-Generated Summary,Anxious,Foldable Phone,Movies,Latin America,Medium,67,202,0.6389,15.18,8.73,1,8
TikTok,Premium AI-Plus,Mood-Based Playlist,Stressed,Foldable Phone,Education,Asia Pacific,High,98,207,0.2954,33.69,7.78,1,2
Netflix,Standard,Mood-Based Playlist,Happy,Apple Vision Pro,Shorts,Latin America,Medium,69,131,0.1404,23.74,6.92,1,3
Netflix,Premium AI-Plus,Virtual Background Sync,Happy,Foldable Phone,Gaming,North America,Medium,71,90,0.1496,6.3,5.16,2,1
YouTube,Standard,Real-time Voice Dubbing,Energetic,AI-Integrated TV,Gaming,Asia Pacific,High,77,117,0.023,2.74,8.14,1,2
YouTube,Ad-Supported,AI-Generated Summary,Stressed,Foldable Phone,Shorts,Asia Pacific,Low,76,111,0.1112,16.05,9.17,1,3
TikTok,Standard,AI-Generated Summary,Energetic,Foldable Phone,Education,Europe,Medium,100,54,0.4033,2.87,8.56,1,7
Netflix,Ad-Supported,Virtual Background Sync,Bored,Apple Vision Pro,Shorts,Middle East & Africa,Medium,93,119,0.1094,17.97,6.74,1,4
Apple TV+,Ad-Supported,Real-time Voice Dubbing,Stressed,Apple Vision Pro,Education,Asia Pacific,Medium,83,78,0.1726,25.17,8.01,3,6
YouTube,Premium AI-Plus,AI-Generated Summary,Stressed,AI-Integrated TV,Gaming,Asia Pacific,High,88,177,0.2338,14.82,6.0,1,4
Netflix,Standard,Real-time Voice Dubbing,Happy,AI-Integrated TV,Education,Asia Pacific,Medium,85,234,0.7204,17.77,6.91,5,6
Netflix,Standard,AI-Generated Summary,Bored,Apple Vision Pro,Gaming,Europe,Medium,70,106,0.3022,19.14,8.7,1,3
Disney+ AI,Ad-Supported,AI-Generated Summary,Anxious,Foldable Phone,Education,Latin America,Medium,100,64,0.1935,22.65,6.87,1,2
Disney+ AI,Standard,Mood-Based Playlist,Happy,Foldable Phone,Gaming,Europe,Low,64,39,0.3651,26.21,7.28,2,4
Apple TV+,Premium AI-Plus,AI-Generated Summary,Energetic,Apple Vision Pro,Shorts,Asia Pacific,Low,73,139,0.2854,3.14,10.0,3,1
TikTok,Ad-Supported,AI-Generated Summary,Bored,Foldable Phone,Shorts,Europe,High,99,109,0.044,24.41,8.55,40,3
Prime Video,Ad-Supported,Virtual Background Sync,Energetic,Apple Vision Pro,Movies,North America,Medium,78,105,0.2667,0.42,6.29,1,3
TikTok,Premium AI-Plus,Mood-Based Playlist,Happy,Smart Glasses,Shorts,North America,Medium,68,60,0.1826,17.04,9.82,15,4
Apple TV+,Premium AI-Plus,Virtual Background Sync,Stressed,AI-Integrated TV,Shorts,Europe,Medium,90,149,0.0824,2.57,6.02,1,1
TikTok,Premium AI-Plus,Virtual Background Sync,Stressed,Foldable Phone,Movies,Asia Pacific,Medium,94,116,0.2713,34.99,7.7,6,5
TikTok,Standard,AI-Generated Summary,Bored,Foldable Phone,Shorts,Latin America,Low,87,95,0.3393,15.19,7.34,2,1
YouTube,Standard,Mood-Based Playlist,Happy,Foldable Phone,Education,Asia Pacific,Medium,67,156,0.1515,11.52,6.26,21,3
Disney+ AI,Ad-Supported,Real-time Voice Dubbing,Bored,Apple Vision Pro,Gaming,Europe,Low,79,142,0.0296,34.99,7.95,1,3
YouTube,Ad-Supported,Personalized Story Ending,Energetic,Apple Vision Pro,Movies,Middle East & Africa,High,75,154,0.2465,12.37,5.69,1,2
YouTube,Standard,Virtual Background Sync,Anxious,AI-Integrated TV,Movies,North America,Medium,56,102,0.1971,13.96,9.37,1,4
Netflix,Ad-Supported,Real-time Voice Dubbing,Energetic,Foldable Phone,Movies,Latin America,High,92,43,0.1126,31.3,9.09,1,5
Netflix,Standard,AI-Generated Summary,Anxious,Smart Glasses,Gaming,Asia Pacific,Low,71,209,0.6294,4.05,10.0,24,7
Prime Video,Ad-Supported,Mood-Based Playlist,Anxious,Foldable Phone,Shorts,Asia Pacific,Low,51,79,0.2639,13.12,8.56,1,5
YouTube,Standard,Virtual Background Sync,Anxious,Foldable Phone,Shorts,Europe,Medium,76,81,0.0614,23.09,7.17,5,2
Disney+ AI,Ad-Supported,Real-time Voice Dubbing,Happy,AI-Integrated TV,Shorts,Asia Pacific,Medium,69,196,0.4975,10.02,5.35,1,11
Netflix,Ad-Supported,Personalized Story Ending,Bored,AI-Integrated TV,Education,Europe,High,67,152,0.5301,1.81,4.95,2,5
YouTube,Ad-Supported,Mood-Based Playlist,Happy,Smart Glasses,Movies,Middle East & Africa,Low,73,118,0.2894,3.52,7.54,1,3
YouTube,Ad-Supported,Mood-Based Playlist,Energetic,Smart Glasses,Movies,Latin America,Medium,82,89,0.0892,3.17,8.9,1,7
YouTube,Ad-Supported,AI-Generated Summary,Anxious,AI-Integrated TV,Education,North America,High,70,50,0.4168,7.06,6.08,9,3
Apple TV+,Premium AI-Plus,Real-time Voice Dubbing,Energetic,AI-Integrated TV,Shorts,Asia Pacific,Low,81,60,0.4426,29.84,9.85,1,7
Disney+ AI,Standard,Real-time Voice Dubbing,Stressed,AI-Integrated TV,Gaming,Asia Pacific,Medium,69,78,0.2313,34.99,10.0,1,9
Netflix,Standard,Real-time Voice Dubbing,Energetic,Apple Vision Pro,Movies,Europe,Medium,100,136,0.1577,7.07,5.79,2,5
YouTube,Standard,Virtual Background Sync,Energetic,Foldable Phone,Education,North America,High,64,135,0.1484,15.57,6.76,1,5
Netflix,Premium AI-Plus,Mood-Based Playlist,Happy,Foldable Phone,Education,Latin America,High,65,119,0.2809,3.89,9.01,20,5
Disney+ AI,Standard,Virtual Background Sync,Energetic,Apple Vision Pro,Education,Europe,High,81,233,0.7801,23.17,10.0,1,3
Netflix,Ad-Supported,AI-Generated Summary,Energetic,Foldable Phone,Shorts,Europe,Medium,35,133,0.3458,13.26,6.94,1,3
YouTube,Premium AI-Plus,Real-time Voice Dubbing,Happy,Smart Glasses,Education,Europe,Low,94,129,0.2194,34.99,9.44,4,3
YouTube,Premium AI-Plus,Personalized Story Ending,Anxious,AI-Integrated TV,Gaming,Asia Pacific,Low,95,183,0.5623,8.27,9.17,3,9
YouTube,Ad-Supported,Mood-Based Playlist,Stressed,Apple Vision Pro,Shorts,North America,Medium,44,130,0.0141,17.72,8.3,1,4
Prime Video,Ad-Supported,Real-time Voice Dubbing,Happy,Foldable Phone,Education,North America,Low,71,50,0.6811,33.76,8.13,55,7
YouTube,Ad-Supported,Mood-Based Playlist,Bored,Smart Glasses,Education,Europe,Medium,87,186,0.3427,4.88,10.0,2,4
YouTube,Standard,Personalized Story Ending,Energetic,Foldable Phone,Movies,Europe,High,83,85,0.171,34.42,4.41,1,8
Disney+ AI,Standard,Virtual Background Sync,Energetic,Foldable Phone,Shorts,Asia Pacific,Low,38,129,0.2866,33.94,9.6,1,6
YouTube,Premium AI-Plus,Real-time Voice Dubbing,Happy,Smart Glasses,Movies,Latin America,High,93,85,0.1338,17.22,8.89,1,7
Prime Video,Premium AI-Plus,Virtual Background Sync,Energetic,Foldable Phone,Education,Asia Pacific,Medium,77,95,0.3114,23.79,8.04,3,3
Netflix,Standard,Virtual Background Sync,Anxious,Smart Glasses,Shorts,Europe,High,52,112,0.3385,24.07,8.52,4,1
Netflix,Standard,Personalized Story Ending,Stressed,Apple Vision Pro,Education,Middle East & Africa,Medium,68,86,0.097,10.71,5.72,2,11
TikTok,Standard,AI-Generated Summary,Energetic,AI-Integrated TV,Shorts,North America,Low,72,100,0.1697,5.91,5.98,5,2
YouTube,Standard,AI-Generated Summary,Stressed,Foldable Phone,Gaming,Latin America,Low,59,181,0.2052,34.99,9.43,5,8
Netflix,Standard,Virtual Background Sync,Stressed,Foldable Phone,Movies,Latin America,Low,38,160,0.2825,2.53,6.96,3,3
Disney+ AI,Ad-Supported,Personalized Story Ending,Energetic,Foldable Phone,Movies,Europe,Medium,7,129,0.092,15.76,7.13,2,4
Disney+ AI,Premium AI-Plus,AI-Generated Summary,Stressed,Apple Vision Pro,Gaming,North America,Low,57,91,0.3496,2.54,6.32,1,5
Apple TV+,Premium AI-Plus,Real-time Voice Dubbing,Happy,AI-Integrated TV,Gaming,North America,Medium,59,87,0.1376,12.17,10.0,56,7
YouTube,Standard,Mood-Based Playlist,Happy,Smart Glasses,Gaming,North America,Medium,66,120,0.1774,17.24,10.0,1,2
YouTube,Standard,AI-Generated Summary,Happy,Foldable Phone,Shorts,North America,Medium,46,169,0.1195,5.36,8.24,3,5
Prime Video,Standard,Mood-Based Playlist,Energetic,Foldable Phone,Shorts,Europe,Low,53,90,0.2588,6.49,9.47,1,5
Netflix,Premium AI-Plus,AI-Generated Summary,Energetic,AI-Integrated TV,Education,Middle East & Africa,Low,72,65,0.1382,34.99,5.85,1,3
YouTube,Premium AI-Plus,Real-time Voice Dubbing,Bored,AI-Integrated TV,Shorts,Asia Pacific,Medium,86,86,0.3211,31.15,8.18,1,3
Apple TV+,Premium AI-Plus,Mood-Based Playlist,Anxious,Smart Glasses,Shorts,Asia Pacific,Medium,73,107,0.188,15.89,7.34,1,3
Prime Video,Standard,Virtual Background Sync,Energetic,Smart Glasses,Gaming,Europe,High,82,113,0.1502,4.83,6.15,2,7
Disney+ AI,Standard,Personalized Story Ending,Energetic,Smart Glasses,Movies,North America,Low,39,107,0.2553,6.92,9.91,1,3
TikTok,Ad-Supported,Real-time Voice Dubbing,Stressed,Apple Vision Pro,Gaming,North America,Low,59,79,0.2673,7.59,9.32,14,3
YouTube,Standard,Real-time Voice Dubbing,Energetic,AI-Integrated TV,Movies,Europe,Medium,75,116,0.2477,34.99,5.41,1,3
Netflix,Ad-Supported,Mood-Based Playlist,Happy,Apple Vision Pro,Education,Middle East & Africa,High,81,57,0.25,4.97,9.95,28,4
Disney+ AI,Premium AI-Plus,Virtual Background Sync,Stressed,Apple Vision Pro,Movies,Europe,Low,83,121,0.1724,6.43,10.0,1,8
YouTube,Standard,Virtual Background Sync,Happy,Foldable Phone,Education,Europe,Medium,60,62,0.1627,15.9,4.43,1,7
YouTube,Ad-Supported,AI-Generated Summary,Happy,Smart Glasses,Movies,Europe,Medium,99,74,0.3939,7.25,6.81,1,5
YouTube,Premium AI-Plus,Real-time Voice Dubbing,Bored,Foldable Phone,Movies,Europe,High,77,172,0.1829,11.01,8.46,1,2
TikTok,Premium AI-Plus,Virtual Background Sync,Happy,Foldable Phone,Movies,Middle East & Africa,High,89,64,0.1686,12.06,8.49,1,2
Disney+ AI,Standard,AI-Generated Summary,Energetic,Foldable Phone,Education,Europe,High,98,54,0.2351,16.11,9.54,40,11
Disney+ AI,Ad-Supported,Virtual Background Sync,Anxious,Foldable Phone,Shorts,North America,Medium,56,76,0.1325,7.1,8.72,1,2
Netflix,Standard,Real-time Voice Dubbing,Stressed,Apple Vision Pro,Movies,North America,High,68,66,0.1811,34.09,8.39,1,3
TikTok,Ad-Supported,Real-time Voice Dubbing,Bored,Smart Glasses,Gaming,North America,Medium,87,127,0.6973,16.77,6.53,7,3
YouTube,Standard,Mood-Based Playlist,Energetic,Smart Glasses,Gaming,North America,Low,65,97,0.0349,4.87,9.36,18,3
Apple TV+,Standard,Real-time Voice Dubbing,Energetic,Foldable Phone,Gaming,Europe,High,90,104,0.1589,27.19,10.0,1,4
YouTube,Standard,Mood-Based Playlist,Stressed,AI-Integrated TV,Movies,Middle East & Africa,Medium,100,193,0.3676,32.03,7.41,35,7
Disney+ AI,Premium AI-Plus,Real-time Voice Dubbing,Happy,Foldable Phone,Education,Asia Pacific,High,71,121,0.4638,16.42,4.16,1,7
Netflix,Premium AI-Plus,Personalized Story Ending,Stressed,Foldable Phone,Movies,North America,Medium,69,165,0.0439,32.41,10.0,1,2
TikTok,Premium AI-Plus,Mood-Based Playlist,Happy,Foldable Phone,Movies,Latin America,High,65,190,0.6707,12.45,7.09,66,2
Apple TV+,Ad-Supported,Virtual Background Sync,Bored,Apple Vision Pro,Movies,Asia Pacific,Low,54,163,0.5632,5.17,9.07,44,3
TikTok,Standard,Personalized Story Ending,Stressed,Smart Glasses,Gaming,Europe,Low,76,102,0.2421,1.89,6.82,11,7
Netflix,Ad-Supported,Mood-Based Playlist,Happy,Apple Vision Pro,Education,Europe,Medium,53,22,0.0395,0.39,8.8,16,3
Netflix,Ad-Supported,AI-Generated Summary,Energetic,Smart Glasses,Shorts,Europe,Medium,54,68,0.0749,29.74,9.66,8,5
Netflix,Standard,Mood-Based Playlist,Happy,AI-Integrated TV,Movies,Europe,High,60,120,0.3268,5.58,10.0,1,4
YouTube,Ad-Supported,Mood-Based Playlist,Energetic,AI-Integrated TV,Movies,North America,High,64,118,0.403,24.19,10.0,2,5
YouTube,Ad-Supported,AI-Generated Summary,Bored,AI-Integrated TV,Movies,North America,High,84,213,0.2396,6.93,10.0,1,5
YouTube,Standard,Real-time Voice Dubbing,Bored,Foldable Phone,Gaming,Asia Pacific,Low,77,99,0.1913,5.67,5.35,5,8
YouTube,Premium AI-Plus,AI-Generated Summary,Energetic,Smart Glasses,Movies,Latin America,Medium,67,124,0.5608,15.83,7.73,7,3
YouTube,Ad-Supported,Personalized Story Ending,Happy,Smart Glasses,Shorts,Asia Pacific,High,73,112,0.106,4.52,6.23,1,5
