User_ID,Platform,Subscription_Tier,AI_Feature_Used,User_Mood_Pre_Watch,Device_Type,Content_Type,Region,Data_Privacy_Setting,Engagement_Score,Daily_Viewing_Time_Min,Churn_Risk_Probability,Monthly_Subscription_Cost_USD,AI_Feature_Satisfaction,Content_Items_Watched,Weekly_Sessions
USR-00001,Disney+ AI,Standard,Virtual Background Sync,Energetic,AI-Integrated TV,Movies,Europe,High,35,122,0.3265,15.27,3.27,1,4
USR-00002,YouTube,Standard,Mood-Based Playlist,Stressed,Foldable Phone,Shorts,Asia Pacific,Medium,35,187,0.309,9.0,4.16,62,5
USR-00003,Prime Video,Ad-Supported,AI-Generated Summary,Stressed,Foldable Phone,Education,Middle East & Africa,High,35,259,0.3331,1.26,4.27,12,10
USR-00004,Disney+ AI,Ad-Supported,Personalized Story Ending,Stressed,Apple Vision Pro,Movies,North America,High,59,198,0.1816,2.95,6.5,2,7
USR-00005,Netflix,Ad-Supported,Real-time Voice Dubbing,Happy,Foldable Phone,Movies,North America,Medium,72,103,0.3539,3.81,7.97,1,5
USR-00006,Apple TV+,Ad-Supported,Personalized Story Ending,Anxious,Foldable Phone,Shorts,Asia Pacific,Medium,91,79,0.1892,2.54,10.0,26,3
USR-00007,Disney+ AI,Standard,Virtual Background Sync,Energetic,Foldable Phone,Movies,Latin America,Medium,23,111,0.2279,9.53,2.85,1,6
USR-00008,Disney+ AI,Premium AI-Plus,Real-time Voice Dubbing,Bored,Smart Glasses,Gaming,North America,High,61,131,0.2554,22.96,6.02,4,4
USR-00009,Netflix,Ad-Supported,Mood-Based Playlist,Anxious,AI-Integrated TV,Shorts,Asia Pacific,Medium,60,92,0.6173,0.1,6.52,31,2
USR-00010,YouTube,Ad-Supported,AI-Generated Summary,Stressed,Apple Vision Pro,Gaming,Asia Pacific,Medium,63,177,0.2251,5.0,6.63,5,5
USR-00011,YouTube,Standard,Real-time Voice Dubbing,Energetic,AI-Integrated TV,Gaming,Middle East & Africa,Low,90,105,0.1024,10.03,10.0,3,3
USR-00012,Apple TV+,Standard,Mood-Based Playlist,Bored,AI-Integrated TV,Shorts,Europe,Medium,92,163,0.2509,14.38,9.65,54,7
USR-00013,TikTok,Ad-Supported,Personalized Story Ending,Happy,Apple Vision Pro,Gaming,North America,Medium,46,93,0.2131,5.33,5.8,3,5
USR-00014,Prime Video,Ad-Supported,Real-time Voice Dubbing,Stressed,Foldable Phone,Movies,Middle East & Africa,Low,82,213,0.0896,4.04,9.09,2,6
USR-00015,YouTube,Premium AI-Plus,AI-Generated Summary,Happy,Foldable Phone,Shorts,North America,Medium,100,133,0.2819,34.13,10.0,44,4
USR-00016,Netflix,Ad-Supported,Personalized Story Ending,Anxious,AI-Integrated TV,Shorts,Europe,Medium,57,131,0.2642,2.35,6.51,44,5
USR-00017,TikTok,Standard,Real-time Voice Dubbing,Bored,AI-Integrated TV,Movies,North America,Medium,58,188,0.5833,11.88,6.11,2,5
USR-00018,Netflix,Premium AI-Plus,Personalized Story Ending,Stressed,Foldable Phone,Movies,Europe,Medium,32,170,0.1939,26.34,4.39,2,4
USR-00019,Prime Video,Ad-Supported,Virtual Background Sync,Bored,AI-Integrated TV,Shorts,Europe,Medium,53,192,0.3753,1.67,5.05,64,9
USR-00020,TikTok,Standard,Virtual Background Sync,Energetic,Foldable Phone,Shorts,Europe,Medium,87,102,0.3823,10.38,8.28,34,5
USR-00021,Disney+ AI,Ad-Supported,Mood-Based Playlist,Stressed,Foldable Phone,Gaming,Asia Pacific,Medium,71,204,0.0842,0.12,8.5,6,5
USR-00022,YouTube,Ad-Supported,Mood-Based Playlist,Happy,Foldable Phone,Movies,North America,Medium,70,86,0.4629,3.12,7.45,1,1
USR-00023,Apple TV+,Ad-Supported,Personalized Story Ending,Bored,AI-Integrated TV,Movies,Europe,High,63,164,0.0529,0.18,6.66,2,6
USR-00024,Prime Video,Premium AI-Plus,AI-Generated Summary,Stressed,Smart Glasses,Education,Middle East & Africa,Low,72,194,0.077,24.27,8.01,9,9
USR-00025,Disney+ AI,Ad-Supported,Mood-Based Playlist,Energetic,AI-Integrated TV,Movies,Latin America,High,68,114,0.3284,0.51,6.99,1,5
USR-00026,Netflix,Ad-Supported,Personalized Story Ending,Stressed,Apple Vision Pro,Education,Asia Pacific,Low,58,184,0.4831,2.96,7.08,8,5
USR-00027,YouTube,Premium AI-Plus,Personalized Story Ending,Happy,Smart Glasses,Gaming,North America,Medium,85,90,0.095,23.9,9.62,3,2
