Platform,Subscription_Tier,AI_Feature_Used,User_Mood_Pre_Watch,Device_Type,Content_Type,Region,Data_Privacy_Setting,Engagement_Score,Daily_Viewing_Time_Min,Churn_Risk_Probability,Monthly_Subscription_Cost_USD,AI_Feature_Satisfaction,Content_Items_Watched,Weekly_Sessions
Disney+ AI,Standard,Mood-Based Playlist,Happy,AI-Integrated TV,Education,North America,Medium,98,76,0.1141,24.12,10.0,7,4
YouTube,Premium AI-Plus,Real-time Voice Dubbing,Happy,AI-Integrated TV,Education,Latin America,High,88,191,0.3604,14.51,6.24,18,5
Apple TV+,Standard,Personalized Story Ending,Stressed,AI-Integrated TV,Education,Europe,High,100,202,0.2367,5.11,8.14,18,1
YouTube,Standard,Virtual Background Sync,Stressed,Foldable Phone,Gaming,Asia Pacific,Low,96,109,0.2703,26.92,9.35,2,4
YouTube,Standard,AI-Generated Summary,Happy,Foldable Phone,Gaming,North America,High,69,113,0.0025,12.9,10.0,30,5
YouTube,Premium AI-Plus,Real-time Voice Dubbing,Stressed,AI-Integrated TV,Gaming,Asia Pacific,Medium,66,127,0.1249,2.06,6.02,30,6
YouTube,Standard,AI-Generated Summary,Anxious,AI-Integrated TV,Education,Asia Pacific,High,70,142,0.1825,15.67,6.33,1,5
Netflix,Premium AI-Plus,Virtual Background Sync,Happy,Apple Vision Pro,Education,Europe,High,86,86,0.0565,11.85,8.64,11,6
Netflix,Standard,Personalized Story Ending,Stressed,AI-Integrated TV,Movies,Middle East & Africa,Low,69,84,0.0437,16.28,7.96,2,4
TikTok,Premium AI-Plus,Mood-Based Playlist,Stressed,Apple Vision Pro,Gaming,Europe,Low,72,103,0.0288,12.29,9.06,1,6
YouTube,Standard,Real-time Voice Dubbing,Stressed,Foldable Phone,Shorts,Asia Pacific,High,89,213,0.6257,33.25,9.59,9,7
Disney+ AI,Standard,Virtual Background Sync,Happy,Apple Vision Pro,Gaming,Europe,High,70,147,0.0794,12.99,6.57,7,5
Disney+ AI,Standard,Personalized Story Ending,Happy,AI-Integrated TV,Shorts,Asia Pacific,Medium,70,103,0.1796,1.15,8.25,2,6
YouTube,Standard,AI-Generated Summary,Energetic,Smart Glasses,Shorts,Europe,Low,33,178,0.0673,16.26,9.66,1,3
Disney+ AI,Standard,Real-time Voice Dubbing,Anxious,Foldable Phone,Movies,Latin America,Low,87,216,0.1576,7.63,7.58,2,5
Netflix,Standard,Virtual Background Sync,Bored,Foldable Phone,Gaming,Europe,Medium,54,127,0.2454,12.77,8.47,2,1
YouTube,Standard,AI-Generated Summary,Energetic,AI-Integrated TV,Gaming,Europe,High,79,236,0.1899,12.46,10.0,1,1
TikTok,Standard,AI-Generated Summary,Happy,AI-Integrated TV,Education,Middle East & Africa,Low,40,134,0.199,1.2,7.54,1,5
YouTube,Standard,Personalized Story Ending,Bored,Foldable Phone,Movies,North America,Low,43,64,0.3124,27.97,10.0,1,5
YouTube,Premium AI-Plus,AI-Generated Summary,Happy,Foldable Phone,Education,Middle East & Africa,Medium,100,86,0.3747,34.99,8.82,4,6
YouTube,Standard,Virtual Background Sync,Anxious,Foldable Phone,Gaming,Asia Pacific,Medium,52,133,0.282,14.87,9.27,2,5
Apple TV+,Standard,Personalized Story Ending,Bored,Foldable Phone,Shorts,North America,Medium,86,169,0.1636,12.44,8.77,1,1
TikTok,Standard,Real-time Voice Dubbing,Energetic,AI-Integrated TV,Movies,Asia Pacific,Low,43,198,0.3931,13.84,10.0,1,7
YouTube,Standard,Mood-Based Playlist,Energetic,Apple Vision Pro,Shorts,Middle East & Africa,High,56,128,0.2408,5.99,9.94,1,6
YouTube,Ad-Supported,AI-Generated Summary,Bored,AI-Integrated TV,Movies,Asia Pacific,Medium,50,256,0.2055,2.45,6.06,3,5
YouTube,Ad-Supported,Mood-Based Playlist,Happy,AI-Integrated TV,Education,Middle East & Africa,Medium,64,28,0.46,20.11,7.25,1,5
YouTube,Standard,Virtual Background Sync,Anxious,Apple Vision Pro,Shorts,Asia Pacific,Low,54,66,0.0025,10.47,9.9,2,4
YouTube,Premium AI-Plus,Mood-Based Playlist,Happy,Foldable Phone,Education,Europe,Medium,90,152,0.2311,2.96,9.39,29,5
YouTube,Standard,Virtual Background Sync,Happy,AI-Integrated TV,Shorts,Middle East & Africa,Low,40,170,0.3826,34.99,9.15,1,2
